symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars
KRW-AAVE,0.005,0.015,10,2.0,65,755,48.5,-63.75,-49.83,0.773,8.2
KRW-AAVE,0.005,0.008,50,1.2,65,1186,55.1,-125.0,-74.07,0.773,12.0
KRW-AAVE,0.02,0.008,10,2.0,65,740,29.3,-74.24,-56.57,0.771,12.9
KRW-AAVE,0.005,0.008,50,2.0,70,1317,55.7,-138.88,-76.86,0.77,11.2
KRW-AAVE,0.015,0.01,10,2.0,65,745,33.0,-73.11,-55.92,0.77,11.5
KRW-AAVE,0.015,0.008,30,2.0,65,716,33.1,-93.07,-63.1,0.769,19.1
KRW-AAVE,0.02,0.005,50,2.0,65,713,23.1,-93.43,-65.57,0.769,19.8
KRW-AAVE,0.005,0.01,20,2.0,70,1335,53.9,-132.59,-75.24,0.769,10.6
KRW-AAVE,0.015,0.015,20,1.5,65,963,35.3,-120.65,-72.81,0.768,19.5
KRW-AAVE,0.01,0.015,20,2.0,70,1271,41.6,-157.85,-80.93,0.768,16.4
KRW-AAVE,0.015,0.01,50,1.2,70,1693,36.9,-272.55,-94.92,0.768,26.3
KRW-AAVE,0.015,0.015,20,1.2,65,1141,35.2,-144.05,-78.88,0.768,19.6
KRW-AAVE,0.01,0.008,50,1.2,65,1137,41.0,-154.78,-81.82,0.767,18.5
KRW-AAVE,0.005,0.008,30,1.2,65,1198,53.7,-126.29,-74.05,0.765,10.9
KRW-AAVE,0.005,0.008,50,1.5,65,992,54.8,-107.95,-68.89,0.765,12.1
KRW-AAVE,0.01,0.008,50,2.0,70,1241,40.9,-173.36,-84.34,0.765,17.5
KRW-AAVE,0.01,0.005,30,2.0,65,740,34.2,-82.12,-58.76,0.765,11.3
KRW-AAVE,0.005,0.01,20,1.2,65,1207,52.7,-123.68,-73.17,0.764,11.0
KRW-AAVE,0.02,0.015,20,1.2,65,1118,31.6,-148.75,-80.04,0.764,22.4
KRW-AAVE,0.01,0.008,10,2.0,65,750,36.7,-74.6,-55.98,0.762,9.3
KRW-AAVE,0.005,0.01,20,1.2,70,2045,53.8,-214.34,-89.61,0.761,10.5
KRW-AAVE,0.005,0.015,20,2.0,70,1326,55.7,-141.23,-77.56,0.761,12.2
KRW-AAVE,0.01,0.008,50,1.2,70,1858,41.0,-265.76,-94.24,0.76,17.4
KRW-AAVE,0.01,0.008,30,1.2,65,1163,40.2,-149.82,-80.11,0.76,15.7
KRW-AAVE,0.005,0.008,50,1.5,70,1737,55.4,-193.83,-87.22,0.759,11.2
KRW-AAVE,0.02,0.015,20,1.5,70,1558,30.7,-214.67,-90.43,0.759,22.4
KRW-AAVE,0.005,0.008,10,2.0,65,756,46.7,-67.56,-51.3,0.759,7.2
KRW-AAVE,0.015,0.015,20,1.5,70,1607,34.5,-217.47,-90.46,0.758,19.3
KRW-AAVE,0.015,0.01,30,1.2,70,1786,34.9,-266.52,-94.41,0.757,21.4
KRW-AAVE,0.02,0.01,30,1.2,70,1715,30.8,-265.02,-94.29,0.757,25.0
KRW-AAVE,0.02,0.008,30,2.0,70,1213,28.7,-179.72,-86.46,0.757,22.1
KRW-AAVE,0.02,0.008,20,2.0,70,1243,29.1,-166.53,-84.06,0.757,18.5
KRW-AAVE,0.02,0.01,50,1.5,65,896,31.1,-156.82,-82.34,0.757,31.6
KRW-AAVE,0.015,0.008,20,2.0,65,724,32.9,-91.9,-62.61,0.756,15.7
KRW-AAVE,0.005,0.01,20,1.5,65,1011,52.8,-107.62,-68.26,0.755,11.0
